自增ID,内部订单号,线上订单号,店铺名称,全渠道用户ID,发货日期,付款日期,应付金额,已付金额,状态,收货人,款号,商品编码,商品名称,颜色及规格,下单时间,省份,城市,平台站点,子订单编号,线上子订单编号,原始线上订单号,数量,商品单价,商品金额,原价,是否赠品,子订单状态,退款状态,登记数量,实退数量
1,INT20250000000,ON20250000000,H&M童装官方旗舰店,ad4993637618646126,,,876.0,0.0,待付款,傅建平,SPU151,SPU151-蓝色-S,休闲衬衫夏季款,蓝色 宽松,2025-08-24 05:10:53,江西省,吉安市,淘宝,SUB20250000000,ONSUB20250000000,ORIG20250000000,3,292.0,876.0,346.03,是,待付款,未申请退款,0,0
2,INT20250000001,ON20250000001,Mango官方旗舰店,ae6453201887972255,2025-06-07 02:38:24,2025-06-06 02:38:24,520.0,520.0,已完成,张冬梅,SPU194,SPU194-红色-XXXL,套头卫衣春季款,红色 标准,2025-06-04 02:38:24,西藏自治区,林芝市,京东,SUB20250000001,ONSUB20250000001,ORIG20250000001,2,260.0,520.0,321.01,是,已完成,成功退款,2,2
3,INT20250000002,ON20250000002,ONLY女装官方旗舰店,ac7974890860903046,2025-07-25 23:49:25,2025-07-23 23:49:25,453.0,453.0,已发货,罗婷,SPU066,SPU066-黄色-XXL,速干短裤秋冬款,黄色 修身,2025-07-23 23:49:25,江西省,南昌市,淘宝,SUB20250000002,ONSUB20250000002,ORIG20250000002,1,453.0,453.0,582.38,否,已发货,退款中,1,0
4,INT20250000003,ON20250000003,秋水伊人女装官方旗舰店,ab1713604116924103,2025-10-06 23:42:46,2025-10-04 23:42:46,520.0,520.0,已发货,黄倩,SPU194,SPU194-红色-XXXL,套头卫衣春季款,红色 标准,2025-10-02 23:42:46,吉林省,白州市,微信,SUB20250000003,ONSUB20250000003,ORIG20250000003,2,260.0,520.0,352.47,是,已发货,未申请退款,0,0
5,INT20250000004,ON20250000004,江南布衣女装官方旗舰店,ab9994469232918753,2025-08-29 00:13:51,2025-08-26 00:13:51,819.0,736.02,已完成,林婷婷,SPU061,SPU061-白色-XS,休闲裤夏季款,白色 加长,2025-08-25 00:13:51,甘肃省,酒泉市,淘宝,SUB20250000004,ONSUB20250000004,ORIG20250000004,3,273.0,819.0,318.71,否,已完成,退款关闭,0,0
6,INT20250000005,ON20250000005,ONLY女装官方旗舰店,ae8807903234601864,,,735.0,0.0,已取消,乐丹丹,SPU036,SPU036-红色-XXL,羽绒服热卖款,红色 短款,2025-07-25 23:24:13,浙江省,杭州市,拼多多,SUB20250000005,ONSUB20250000005,ORIG20250000005,3,245.0,735.0,328.35,是,已取消,未申请退款,0,0
7,INT20250000006,ON20250000006,美特斯邦威男装官方旗舰店,ae3761815458760546,2025-08-10 12:45:26,2025-08-09 12:45:26,694.0,694.0,已发货,陈淑珍,SPU127,SPU127-蓝色-均码,家居服秋冬款,蓝色 宽松,2025-08-07 12:45:26,安徽省,池州市,微信,SUB20250000006,ONSUB20250000006,ORIG20250000006,2,347.0,694.0,442.77,否,已发货,退款中,2,0
8,INT20250000007,ON20250000007,H&M官方旗舰店,ac4711433845670938,2025-07-27 05:27:34,2025-07-25 05:27:34,261.0,261.0,已发货,胡娜,SPU070,SPU070-棕色-M,连帽卫衣春季款,棕色 宽松,2025-07-24 05:27:34,吉林省,延边朝鲜族自治州,拼多多,SUB20250000007,ONSUB20250000007,ORIG20250000007,3,87.0,261.0,127.0,否,已发货,退款中,3,0
9,INT20250000008,ON20250000008,森马官方旗舰店,af4265322737266185,,2025-09-09 09:45:40,987.0,987.0,已付款,宋建平,SPU172,SPU172-绿色-XXL,短裤春季款,绿色 修身,2025-09-07 09:45:40,广西壮族自治区,北海市,微信,SUB20250000008,ONSUB20250000008,ORIG20250000008,3,329.0,987.0,430.33,否,已付款,申请退款,3,0
10,INT20250000009,ON20250000009,太平鸟官方旗舰店,af2354443162337687,2025-08-29 20:38:52,2025-08-26 20:38:52,930.0,930.0,已发货,姚玉梅,SPU126,SPU126-粉色-XL,包臀裙热卖款,粉色 宽松,2025-08-26 20:38:52,云南省,文山壮族苗族自治州,天猫,SUB20250000009,ONSUB20250000009,ORIG20250000009,2,465.0,930.0,692.12,否,已发货,申请退款,2,0
11,INT20250000010,ON20250000010,秋水伊人官方旗舰店,ab6719374341079667,2025-07-30 07:10:13,2025-07-27 07:10:13,825.0,825.0,已完成,王明,SPU186,SPU186-棕色-M,连帽卫衣夏季款,棕色 宽松,2025-07-26 07:10:13,天津市,天津市,天猫,SUB20250000010,ONSUB20250000010,ORIG20250000010,3,275.0,825.0,353.02,否,已完成,退款关闭,0,0
12,INT20250000011,ON20250000011,Stradivarius官方旗舰店,ac6333142822224198,,2025-07-13 20:13:54,404.0,404.0,已付款,杜坤,SPU126,SPU126-粉色-L,包臀裙热卖款,粉色 加长,2025-07-13 20:13:54,河南省,商丘市,拼多多,SUB20250000011,ONSUB20250000011,ORIG20250000011,1,404.0,404.0,478.92,是,已付款,未申请退款,0,0
13,INT20250000012,ON20250000012,Pull&Bear官方旗舰店,af3623432467164969,2025-10-30 01:56:40,2025-10-28 01:56:40,525.0,525.0,已完成,王文,SPU023,SPU023-橙色-均码,休闲衬衫秋冬款,橙色 加长,2025-10-28 01:56:40,新疆维吾尔自治区,铁门关市,抖音,SUB20250000012,ONSUB20250000012,ORIG20250000012,3,175.0,525.0,250.13,否,已完成,未申请退款,0,0
14,INT20250000013,ON20250000013,播女装官方旗舰店,ac3916272438186155,2025-09-10 07:46:42,2025-09-09 07:46:42,526.0,526.0,已完成,吴秀梅,SPU076,SPU076-棕色-XXXL,跑步外套夏季款,棕色 加长,2025-09-07 07:46:42,福建省,莆田市,微信,SUB20250000013,ONSUB20250000013,ORIG20250000013,2,263.0,526.0,304.49,否,已完成,未申请退款,0,0
15,INT20250000014,ON20250000014,太平鸟官方旗舰店,af7470847815509473,,,231.0,0.0,已取消,冯婷,SPU109,SPU109-棕色-XS,家居服热卖款,棕色 短款,2025-10-21 16:59:36,河北省,邯郸市,抖音,SUB20250000014,ONSUB20250000014,ORIG20250000014,3,77.0,231.0,105.62,是,已取消,未申请退款,0,0
16,INT20250000015,ON20250000015,ZARA女装官方旗舰店,ad7920355575047333,2025-10-04 07:09:26,2025-10-01 07:09:26,600.0,600.0,已完成,林燕,SPU178,SPU178-粉色-均码,家居服热卖款,粉色 标准,2025-09-30 07:09:26,青海省,海西蒙古族藏族自治州,拼多多,SUB20250000015,ONSUB20250000015,ORIG20250000015,2,300.0,600.0,363.67,否,已完成,退款关闭,0,0
17,INT20250000016,ON20250000016,森马官方旗舰店,ae9902841797578387,,2025-09-18 21:28:41,154.0,154.0,已付款,吕芳,SPU143,SPU143-黄色-XS,羽绒服夏季款,黄色 短款,2025-09-16 21:28:41,青海省,海东市,京东,SUB20250000016,ONSUB20250000016,ORIG20250000016,2,77.0,154.0,90.94,是,已付款,退款关闭,0,0
18,INT20250000017,ON20250000017,H&M童装官方旗舰店,ac5052545078493897,,,990.0,0.0,待付款,张博,SPU133,SPU133-黑色-XXXL,家居服新款,黑色 标准,2025-05-14 16:30:23,辽宁省,铁岭市,天猫,SUB20250000017,ONSUB20250000017,ORIG20250000017,3,330.0,990.0,424.09,是,待付款,未申请退款,0,0
19,INT20250000018,ON20250000018,杰克琼斯官方旗舰店,ab5429259759469379,2025-09-16 12:51:25,2025-09-14 12:51:25,291.0,291.0,已完成,杨萍,SPU144,SPU144-橙色-均码,牛仔裤秋冬款,橙色 宽松,2025-09-13 12:51:25,安徽省,马鞍山市,拼多多,SUB20250000018,ONSUB20250000018,ORIG20250000018,1,291.0,291.0,435.05,否,已完成,退款关闭,0,0
20,INT20250000019,ON20250000019,韩都衣舍女装官方旗舰店,ac2147926345056407,2025-08-30 23:46:02,2025-08-27 23:46:02,1026.0,1026.0,已发货,陈建平,SPU097,SPU097-蓝色-XXXL,羽绒服经典款,蓝色 加长,2025-08-27 23:46:02,新疆维吾尔自治区,吐鲁番市,淘宝,SUB20250000019,ONSUB20250000019,ORIG20250000019,3,342.0,1026.0,494.02,是,已发货,退款关闭,0,0
